d001	201301	101
d002	201301	102
d003	201301	103
d001	201302	111
d002	201302	112
d003	201302	113
d001	201303	121
d002	201303	122
d003	201303	123
d001	201304	131
d002	201304	132
d003	201304	133
d001	201305	141
d002	201305	142
d003	201305	143
d001	201306	151
d002	201306	152
d003	201306	153
d001	201307	201
d002	201307	202
d003	201307	203
d001	201308	211
d002	201308	212
d003	201308	213
d001	201309	221
d002	201309	222
d003	201309	223
d001	201310	231
d002	201310	232
d003	201310	233
d001	201311	241
d002	201311	242
d003	201311	243
d001	201312	301
d002	201312	302
d003	201312	303
d001	201401	301
d002	201401	302
d003	201401	303
d001	201402	211
d002	201402	212
d003	201402	213
d001	201403	271
d002	201403	272
d003	201403	273
d001	201404	331
d002	201404	332
d003	201404	333
d001	201405	351
d002	201405	352
d003	201405	353
	
